applicant_id,score
"0","4.52"
"1","9.8"
"2","3.34"
"3","8.9"
"4","0.05"
"5","1.67"
"6","1.26"
"7","1.32"
"8","5.3"
"9","7.86"
"10","1.97"
"11","9.74"
"12","2.26"
"13","4.13"
"14","2.42"
"15","2.55"
"16","1.09"
"17","8.72"
"18","4.11"
"19","1.06"
"20","9.46"
"21","3.76"
"22","7.38"
"23","1.89"
"24","6.87"
"25","3.42"
"26","0.81"
"27","4.12"
"28","1.5"
"29","7.67"
"30","3.84"
"31","7.17"
"32","9.28"
"33","7.72"
"34","5.36"
"35","6.04"
"36","1.77"
"37","8.0"
"38","5.79"
"39","9.98"
"40","3.81"
"41","7.08"
"42","3.89"
"43","5.94"
"44","6.66"
"45","7.57"
"46","2.39"
"47","8.13"
"48","0.56"
"49","6.49"
"50","5.03"
"51","2.58"
"52","1.54"
"53","0.09"
"54","9.98"
"55","1.74"
"56","3.18"
"57","8.8"
"58","7.17"
"59","8.47"
"60","4.62"
"61","0.25"
"62","3.27"
"63","3.52"
"64","5.98"
"65","9.78"
"66","6.5"
"67","5.43"
"68","3.19"
"69","5.05"
"70","1.24"
"71","3.53"
"72","6.97"
"73","0.13"
"74","3.98"
"75","8.35"
"76","8.05"
"77","7.54"
"78","4.49"
"79","5.24"
"80","1.41"
"81","6.12"
"82","7.58"
"83","4.98"
"84","0.47"
"85","6.42"
"86","6.38"
"87","4.32"
"88","1.34"
"89","2.44"
"90","4.97"
"91","5.09"
"92","5.62"
"93","1.58"
"94","4.34"
"95","0.97"
"96","3.82"
"97","1.88"
"98","7.63"
"99","0.52"
"100","5.97"
"101","2.98"
"102","3.4"
"103","1.48"
"104","2.88"
"105","8.76"
"106","2.0"
"107","0.34"
"108","1.87"
"109","7.66"
"110","8.34"
"111","8.08"
"112","4.23"
"113","4.86"
"114","3.3"
"115","7.04"
"116","8.4"
"117","2.59"
"118","9.47"
"119","6.36"
"120","3.44"
"121","5.89"
"122","6.91"
"123","7.22"
"124","0.06"
"125","3.01"
"126","0.16"
"127","7.77"
"128","2.91"
"129","7.35"
"130","5.17"
"131","6.23"
"132","0.54"
"133","2.29"
"134","2.45"
"135","1.06"
"136","7.47"
"137","1.21"
"138","0.47"
"139","6.28"
"140","9.6"
"141","4.4"
"142","1.77"
"143","0.81"
"144","3.91"
"145","0.13"
"146","2.5"
"147","4.92"
"148","0.97"
"149","8.28"
"150","3.03"
"151","0.94"
"152","5.32"
"153","3.9"
"154","5.0"
"155","0.12"
"156","5.23"
"157","4.75"
"158","5.28"
"159","2.68"
"160","8.96"
"161","8.09"
"162","2.14"
"163","8.44"
"164","6.02"
"165","5.58"
"166","3.79"
"167","3.25"
"168","0.37"
"169","6.26"
"170","4.95"
"171","8.96"
"172","7.1"
"173","9.4"
"174","8.04"
"175","7.4"
"176","8.11"
"177","9.78"
"178","5.67"
"179","0.67"
"180","6.1"
"181","7.79"
"182","3.99"
"183","4.94"
"184","5.04"
"185","4.9"
"186","2.57"
"187","3.23"
"188","4.59"
"189","0.41"
"190","1.99"
"191","8.69"
"192","1.65"
"193","1.07"
"194","4.39"
"195","3.07"
"196","4.15"
"197","4.13"
"198","5.95"
"199","3.66"
"200","7.16"
"201","4.17"
"202","4.16"
"203","9.6"
"204","9.45"
"205","4.64"
"206","9.78"
"207","4.15"
"208","0.94"
"209","6.63"
"210","0.06"
"211","1.5"
"212","2.77"
"213","5.71"
"214","9.03"
"215","7.82"
"216","4.62"
"217","2.53"
"218","8.16"
"219","2.99"
"220","8.23"
"221","7.75"
"222","8.57"
"223","4.26"
"224","6.26"
"225","4.25"
"226","3.08"
"227","2.89"
"228","1.05"
"229","6.16"
"230","2.62"
"231","2.23"
"232","7.64"
"233","3.86"
"234","7.21"
"235","7.04"
"236","7.54"
"237","4.86"
"238","5.97"
"239","8.2"
"240","8.46"
"241","4.95"
"242","4.68"
"243","0.9"
"244","8.16"
"245","0.38"
"246","3.58"
"247","7.57"
"248","0.54"
"249","4.87"
"250","1.92"
"251","5.0"
"252","3.13"
"253","2.24"
"254","9.05"
"255","4.81"
"256","3.8"
"257","9.33"
"258","4.68"
"259","4.16"
"260","6.27"
"261","0.46"
"262","4.36"
"263","3.11"
"264","1.43"
"265","9.31"
"266","1.59"
"267","4.66"
"268","0.12"
"269","8.75"
"270","0.11"
"271","6.15"
"272","0.69"
"273","1.97"
"274","4.13"
"275","8.8"
"276","8.66"
"277","6.86"
"278","0.6"
"279","0.19"
"280","0.9"
"281","3.84"
"282","7.54"
"283","7.24"
"284","5.39"
"285","4.28"
"286","2.49"
"287","5.62"
"288","9.75"
"289","8.09"
"290","2.57"
"291","6.28"
"292","2.51"
"293","6.56"
"294","5.5"
"295","3.98"
"296","5.56"
"297","9.95"
"298","6.31"
"299","3.72"
"300","2.22"
"301","0.06"
"302","6.57"
"303","7.25"
"304","8.18"
"305","7.04"
"306","1.82"
"307","3.03"
"308","3.29"
"309","0.23"
"310","1.55"
"311","2.91"
"312","6.96"
"313","9.97"
"314","8.5"
"315","9.29"
"316","3.73"
"317","6.61"
"318","9.73"
"319","7.01"
"320","5.81"
"321","2.18"
"322","9.52"
"323","1.98"
"324","9.57"
"325","8.14"
"326","2.69"
"327","4.29"
"328","8.61"
"329","8.07"
"330","6.28"
"331","0.77"
"332","3.5"
"333","3.81"
"334","5.96"
"335","9.1"
"336","4.42"
"337","5.86"
"338","4.04"
"339","8.01"
"340","8.73"
"341","6.96"
"342","4.05"
"343","3.25"
"344","0.35"
"345","3.79"
"346","7.66"
"347","4.77"
"348","4.05"
"349","7.92"
"350","6.59"
"351","7.94"
"352","5.51"
"353","4.8"
"354","5.15"
"355","7.4"
"356","2.63"
"357","4.41"
"358","3.19"
"359","9.22"
"360","6.94"
"361","0.68"
"362","7.93"
"363","0.49"
"364","4.65"
"365","3.53"
"366","0.21"
"367","3.75"
"368","2.69"
"369","4.6"
"370","1.07"
"371","4.14"
"372","8.59"
"373","1.02"
"374","0.83"
"375","9.47"
"376","0.83"
"377","1.41"
"378","1.68"
"379","7.36"
"380","7.81"
"381","4.11"
"382","5.76"
"383","8.06"
"384","0.04"
"385","5.19"
"386","6.51"
"387","6.08"
"388","4.03"
"389","9.25"
"390","6.83"
"391","2.49"
"392","5.75"
"393","9.71"
"394","6.65"
"395","0.83"
"396","3.62"
"397","7.08"
"398","9.67"
"399","8.3"
"400","6.48"
"401","6.26"
"402","9.5"
"403","5.46"
"404","7.46"
"405","5.35"
"406","9.21"
"407","7.64"
"408","1.08"
"409","6.51"
"410","1.09"
"411","1.83"
